index,start_time,event,empty_subdir,exists,file_count,path,status,error
48,2014-02-02 14:01:00,20140202_140100_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_140100_UTC\211,,
48,2014-02-02 14:01:00,20140202_140100_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_140100_UTC\304,,
48,2014-02-02 14:01:00,20140202_140100_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_140100_UTC\hmi.Ic_45s,,
49,2014-02-02 16:24:00,20140202_162400_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_162400_UTC\131,,
49,2014-02-02 16:24:00,20140202_162400_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_162400_UTC\211,,
49,2014-02-02 16:24:00,20140202_162400_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_162400_UTC\304,,
49,2014-02-02 16:24:00,20140202_162400_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_162400_UTC\hmi.Ic_45s,,
50,2014-02-02 18:05:00,20140202_180500_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_180500_UTC\131,,
50,2014-02-02 18:05:00,20140202_180500_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_180500_UTC\211,,
50,2014-02-02 18:05:00,20140202_180500_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_180500_UTC\304,,
50,2014-02-02 18:05:00,20140202_180500_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_180500_UTC\hmi.Ic_45s,,
51,2014-02-02 21:24:00,20140202_212400_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_212400_UTC\131,,
51,2014-02-02 21:24:00,20140202_212400_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_212400_UTC\211,,
51,2014-02-02 21:24:00,20140202_212400_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_212400_UTC\304,,
51,2014-02-02 21:24:00,20140202_212400_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140202_212400_UTC\hmi.Ic_45s,,
52,2014-02-04 01:16:00,20140204_011600_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_011600_UTC\131,,
52,2014-02-04 01:16:00,20140204_011600_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_011600_UTC\211,,
52,2014-02-04 01:16:00,20140204_011600_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_011600_UTC\304,,
52,2014-02-04 01:16:00,20140204_011600_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_011600_UTC\hmi.Ic_45s,,
53,2014-02-04 03:57:00,20140204_035700_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_035700_UTC\131,,
53,2014-02-04 03:57:00,20140204_035700_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_035700_UTC\211,,
53,2014-02-04 03:57:00,20140204_035700_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_035700_UTC\304,,
53,2014-02-04 03:57:00,20140204_035700_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_035700_UTC\hmi.Ic_45s,,
54,2014-02-04 09:38:00,20140204_093800_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_093800_UTC\131,,
54,2014-02-04 09:38:00,20140204_093800_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_093800_UTC\211,,
54,2014-02-04 09:38:00,20140204_093800_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_093800_UTC\304,,
54,2014-02-04 09:38:00,20140204_093800_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_093800_UTC\hmi.Ic_45s,,
